"código","nome do território","Data Eleição","total de freguesias","inscritos","votantes","brancos","nulos","votos validamente expressos","André Ventura","António José Seguro"
"1115","Amadora",08-02-2026,6,141093,80323,2063,1519,76741,21928,54813
"1116","Odivelas",08-02-2026,4,124975,74823,1983,1408,71432,23065,48367
"1201","Alter do Chão",08-02-2026,4,2657,1581,53,21,1507,678,829
"1202","Arronches",08-02-2026,3,2485,1429,49,13,1367,627,740
"1203","Avis",08-02-2026,6,3267,2071,51,26,1994,677,1317
"1204","Campo Maior",08-02-2026,3,7021,3826,91,71,3664,1530,2134
"1205","Castelo de Vide",08-02-2026,4,2626,1582,65,26,1491,423,1068
"1206","Crato",08-02-2026,4,2861,1787,47,37,1703,661,1042
"1207","Elvas",08-02-2026,8,18463,9739,226,152,9361,4760,4601
"1208","Fronteira",08-02-2026,3,2584,1531,45,45,1441,645,796
"1209","Gavião",08-02-2026,4,3076,1945,28,24,1893,677,1216
"1210","Marvão",08-02-2026,4,2473,1479,51,33,1395,438,957
"1211","Monforte",08-02-2026,4,2527,1454,36,25,1393,648,745
"1212","Nisa",08-02-2026,7,5530,3238,93,48,3097,1156,1941
"1213","Ponte de Sor",08-02-2026,7,13502,7472,168,105,7199,2942,4257
"1214","Portalegre",08-02-2026,7,19458,11366,380,199,10787,3726,7061
